establishment,system_name,system_origin,system_serving,system_type
2017,Hourcoin,United Kingdom,Wales,Block chain crypto-currency
2017,Timebank.cc,Netherlands,The Hague - Brussels - Lisbon,Time Bank System
2017,COOPEK,France,COOPEK,Global financial currency
2017,Compumatrix powered by Bitshares 2.0,United States,Worldwide,Block chain crypto-currency
2017,Kasonga Business Network,Kenya,Kyangwali Refugee Settlement,Voucher Currency System
2016,Red Rizoma,Argentina,Córdoba,Community Exchange System
2016,ICU P2P Payment,Spain,Worldwide,Global financial currency
2016,bambali.de,Germany,Deutschland,Marketplace Currency (ie. RGT)
2016,Red de Intercambio Solidario Saja,Spain,Cantabria,Community Exchange System
2016,www.ces.org.za,Spain,Zaragoza,Community Exchange System
2016,Der Regio,Germany,München,Voucher Currency System
2016,Myyrmäen Aikapankki,Finland,Myyrmäen suuralue,Community Exchange System
2016,Colu,Israel,Colu,Block chain crypto-currency
2015,TimesFree,United States,Worldwide,Community Cooperation System
2015,CES Greater Vancouver,Canada,Greater Vancouver,Community Exchange System
2015,Community Exchange System - Alaska ExchangeNetwork,United States,Alaska,Community Exchange System
2015,Bitcoin,Israel,bitcoin Community,Cryptocurrency
2015,Thames Green Dollar Exchange,New Zealand,Thames,Local Exchange Trading System  (LETS)
2015,Copín,Spain,Asturias,Community Exchange System
2015,TIME BANKING,South Africa,CAMEROUNAISE,Community Barter System
2015,Community Exchange System,Canada,Revelstoke Alternative Goods and Services Exchange,LETSystem
2015,EcoXarxa Plana Baixa,Spain,Comunidad Valenciana,Local Exchange Trading System  (LETS)
2015,Collective Currency,Barbados,St. James,Mutual Credit System
2015,Hudson Valley Current,United States,Hudson Valley,Community Barter System
2015,KoiNo,Greece,Kalamaria/Thessaloniki,LETSystem
2015,Kapital Truth,Spain,Global,Reconocimiento diario de mérito mutuo
2015,BBX,Hong Kong,Global,Commercial Exchange System
2015,ECU _ Alternative Currency,United States,worldwide,Global financial currency
2015,Tibex,Italy,Lazio,Commercial Exchange System
2015,Nuevo,Guatemala,Quetzaltenango,Community Barter System
2015,Estrela Community Exchange,Portugal,Beiras,Mutual Credit System
2015,ZIPcoin,Italy,Lazio,ECO-COIN and LOYALTY hybrid
2015,Pendo,Netherlands,Pendo,Community Exchange System
2015,rCredits,United States,"Greenfield, MA",Mutual Credit Hybrid
2015,Star Dollar,United States,Untied States of America,Commodity Based System
2015,Credits,Czech Republic,Multiversum Online,Transaction Software
2015,Alternative Choice,Australia,Global,Commodity Based System
2015,Warren Money,Australia,Manjimup Shire,Fiat money (Warrens)?
2015,Ecotracte,Spain,Catalunya,Système d'échange local LETS/SEL
