Artist,Genre,Title,Year
N.W.A,Hip-Hop / Rap / R&B,Straight Outta Compton,1988
Skrillex,Electronic / Dance,Scary Monsters and Nice Sprites (The Juggernaut Remix),2011
"Tyler, the Creator",Hip-Hop / Rap / R&B,Pigs,2013
The Prodigy,Electronic / Dance,Poison,1994
Jay-Z,Electronic / Dance,Can't Knock the Hustle (Desired State Remix),1996
Mantronix,Hip-Hop / Rap / R&B,King of the Beats,1988
Slipknot,Rock / Pop,Eyeless,1999
Snow,Hip-Hop / Rap / R&B,Informer,1992
The Prodigy,Electronic / Dance,Mindfields,1997
Skrillex,Electronic / Dance,I Know Who You Are,2009
Christopher Tyng,Soundtrack,Futurama Theme,1999
Salt-N-Pepa,Hip-Hop / Rap / R&B,I Desire,1986
Lupe Fiasco,Hip-Hop / Rap / R&B,Streets on Fire,2007
Hoso-Q,Soundtrack,Dirty City (Tokyo Stage),1995
Zomboy,Electronic / Dance,Nuclear (Hands Up),2012
Martin Garrix,Electronic / Dance,Animals (Oliver Heldens Remix),2014
Big K.R.I.T.,Hip-Hop / Rap / R&B,Red Eye,2012
Plan B,Hip-Hop / Rap / R&B,Ill Manors,2012
UK Apachi,Electronic / Dance,Original Nuttah,1994
Amon Tobin,Electronic / Dance,Easy Muffin,1997
Stetsasonic,Hip-Hop / Rap / R&B,Bust That Groove,1986
Igorrr,Electronic / Dance,Brutal Swing,2008
Weyheyhey !!,Electronic / Dance,UP THE BUM NO BAIIIIIBEEZ,2013
La Roux,Electronic / Dance,In for the Kill (Skream's Let's Get Ravey Remix),2009
Furries in a Blender,Electronic / Dance,Atomizer,2012
Allister Brimble,Soundtrack,Mission 4,2000
Citadel of Kaos,Electronic / Dance,Paradise Lost,1995
Slipknot,Rock / Pop,Pulse of the Maggots,2004
Krome & Time,Electronic / Dance,Everybody Can Be,1994
DJ Shadow,Hip-Hop / Rap / R&B,Lesson 4,1991
Higher Level,Electronic / Dance,High Spirits,1994
Squarepusher,Electronic / Dance,Come on My Selector,1997
Amon Tobin,Electronic / Dance,Nightlife,1998
Remarc,Electronic / Dance,One 4 Da Vibes,1993
Mitchie M,Rock / Pop,アゲアゲアゲイン (Ageage Again),2013
Remarc,Electronic / Dance,Not 4 U,1993
Remarc,Electronic / Dance,Help Me,1993
DJ Zinc,Electronic / Dance,Super Sharp Shooter,1995
Remarc,Electronic / Dance,Da Drumz,2004
The Dream Team,Electronic / Dance,Lighter,1995
Remarc,Electronic / Dance,Bad No Bloodclart,2004
Remarc,Electronic / Dance,2:01,1997
Technohead,Electronic / Dance,I Wanna Be a Hippy (Flamman & Abraxis Mix),1995
Amon Tobin,Electronic / Dance,Creatures,1997
3rd Bass,Hip-Hop / Rap / R&B,Wordz of Wizdom,1989
Chase & Status,Electronic / Dance,Time,2011
DJ Crystl,Electronic / Dance,The Dark Crystl,1993
DJ Crystl,Electronic / Dance,"Inna Year 3,000",1993
Bones (Jungle Producer),Electronic / Dance,Pow,1995
Naughty Boy,Rock / Pop,Lifted,2013
DJ Crystl,Electronic / Dance,Crystlize,1993
C418,Electronic / Dance,If You Don't Know What to Do Just Steal the Amen Break,2010
Ron Tom,Electronic / Dance,Pirates,1995
Galantis,Electronic / Dance,No Money,2016
Oblivion,Electronic / Dance,Night Windows.,1995
